pdb_name
132L
133L
134L
135L
149L
153L
177L
189L
1A0K
1A11
1A18
1A1D
1A1W
1A1X
1A1Z
1A23
1A24
1A2J
1A32
1A33
1A3P
1A3S
1A43
1A45
1A57
1A58
1A5E
1A5J
1A5R
1A62
1A63
1A67
1A68
1A6S
1A6X
1A7M
1A8O
1A90
1A91
1A9V
1AA2
1AA3
1AAB
1AAJ
1AB0
1AB2
1AB3
1AB7
1ABQ
1ABV
1ACD
1ACF
1ACI
1ACP
1ACW
1AD6
1ADR
1ADX
1ADZ
1AE2
1AEL
1AEP
1AEY
1AF8
1AFH
1AFI
1AFP
1AG2
1AG4
1AG7
1AGI
1AGY
1AHK
1AHL
1AHM
1AHO
1AHQ
1AIE
1AIL
1AIU
1AIW
1AJ3
1AJE
1AJW
1AK6
1AK7
1AKI
1ALB
1ALE
1ALF
1ALG
1ALY
1AMB
1AMC
1AME
1AML
1AMM
1AMX
1ANG
1ANP
1ANS
1ANU
1AOY
1AP0
1AP7
1APC
1APF
1APJ
1APQ
1APS
1AQT
1AR2
1ARK
1ASV
1AT0
1ATA
1ATB
1ATD
1ATE
1ATX
1AUC
1AUM
1AUZ
1AV3
1AW0
1AWE
1AWJ
1AWO
1AWW
1AWX
1AWZ
1AX3
1AXH
1AYD
1AYI
1AYJ
1AZ6
1AZH
1AZJ
1B03
1B0X
1B10
1B1A
1B1J
1B1U
1B1V
1B22
1B24
1B2T
1B3C
1B4G
1B4I
1B4M
1B4R
1B5N
1B64
1B6E
1B6F
1B6Q
1B6W
1B75
1B7I
1B7J
1B7K
1B8E
1B8W
1B9G
1B9P
1B9Q
1B9U
1BA4
1BA5
1BA6
1BAH
1BAJ
1BAK
1BAL
1BAS
1BAX
1BB8
1BB9
1BBA
1BBC
1BBG
1BBI
1BBL
1BBN
1BBY
1BC4
1BC9
1BCG
1BCN
1BCT
1BD8
1BDC
1BDD
1BDS
1BE1
1BEA
1BED
1BEI
1BEO
1BET
1BF9
1BFA
1BFE
1BFG
1BFI
1BFJ
1BFS
1BGF
1BGK
1BH0
1BH4
1BHI
1BHU
1BIP
1BJ7
1BJ8
1BJB
1BJC
1BJX
1BK1
1BK2
1BK7
1BK8
1BKB
1BKL
1BKR
1BLA
1BLD
1BLE
1BLJ
1BLK
1BLQ
1BLR
1BM5
1BM8
1BMG
1BMP
1BMW
1BNB
1BNO
1BNP
1BNR
1BO0
1BO9
1BOC
1BOD
1BOE
1BOX
1BPR
1BPV
1BQ0
1BQF
1BQT
1BQZ
1BR9
1BRQ
1BRV
1BRZ
1BSH
1BSN
1BSQ
1BSY
1BTA
1BTB
1BTI
1BTV
1BU9
1BUJ
1BUO
1BUS
1BUY
1BUZ
1BV1
1BV2
1BV8
1BVH
1BVM
1BVX
1BW3
1BW4
1BW5
1BW6
1BWH
1BWI
1BWJ
1BWX
1BWY
1BY0
1BY6
1BYL
1BYM
1BYR
1BYW
1BZ4
1BZG
1C01
1C05
1C06
